masterid,ReadingTypeId,ReadOn,Value,IsManualReading
78379967,1,2022-11-17 22:00:00.000000,999,TRUE
78379967,1,2022-11-18 22:00:00.000000,999,TRUE
78379967,1,2022-11-19 22:00:00.000000,9,FALSE
78379967,1,2022-11-20 22:00:00.000000,9,FALSE
78379967,1,2022-11-21 22:00:00.000000,119881,FALSE
78379967,1,2022-11-22 22:00:00.000000,120012,FALSE
78379967,1,2022-11-23 00:00:00.000000,120022,FALSE
78379967,1,2022-11-23 01:00:00.000000,120028,FALSE
78379967,1,2022-11-23 02:00:00.000000,120034,FALSE
78379967,1,2022-11-23 03:00:00.000000,120037,FALSE
78379967,1,2022-11-23 04:00:00.000000,120043,FALSE
78379967,1,2022-11-23 05:00:00.000000,120049,FALSE
78379967,1,2022-11-23 06:00:00.000000,120053,FALSE
78379967,1,2022-11-23 07:00:00.000000,120058,FALSE
78379967,1,2022-11-23 08:00:00.000000,120065,FALSE
78379967,1,2022-11-23 09:00:00.000000,120069,FALSE
78379967,1,2022-11-23 10:00:00.000000,120073,FALSE
78379967,1,2022-11-23 11:00:00.000000,120078,FALSE
78379967,1,2022-11-23 12:00:00.000000,120082,FALSE
78379967,1,2022-11-23 13:00:00.000000,120086,FALSE
78379967,1,2022-11-23 14:00:00.000000,120091,FALSE
78379967,1,2022-11-23 15:00:00.000000,120096,FALSE
78379967,1,2022-11-23 16:00:00.000000,120101,FALSE
78379967,1,2022-11-23 17:00:00.000000,120104,FALSE
78379967,1,2022-11-23 18:00:00.000000,120108,FALSE
78379967,1,2022-11-23 19:00:00.000000,120113,FALSE
78379967,1,2022-11-23 20:00:00.000000,120116,FALSE
78379967,1,2022-11-23 21:00:00.000000,120120,FALSE
78379967,1,2022-11-23 22:00:00.000000,120125,FALSE
78379967,1,2022-11-23 23:00:00.000000,120131,FALSE
78379967,1,2022-11-24 00:00:00.000000,120134,FALSE
78379967,1,2022-11-24 01:00:00.000000,120139,FALSE
78379967,1,2022-11-24 02:00:00.000000,120142,FALSE
78379967,1,2022-11-24 03:00:00.000000,120147,FALSE
78379967,1,2022-11-24 04:00:00.000000,120153,FALSE
78379967,1,2022-11-24 05:00:00.000000,120156,FALSE
78379967,1,2022-11-24 06:00:00.000000,120161,FALSE
78379967,1,2022-11-24 07:00:00.000000,120165,FALSE
78379967,1,2022-11-24 08:00:00.000000,120170,FALSE
78379967,1,2022-11-24 09:00:00.000000,120176,FALSE
78379967,1,2022-11-24 10:00:00.000000,120182,FALSE
78379967,1,2022-11-24 11:00:00.000000,120185,FALSE
78379967,1,2022-11-24 12:00:00.000000,120190,FALSE
78379967,1,2022-11-24 13:00:00.000000,120195,FALSE
78379967,1,2022-11-24 14:00:00.000000,120198,FALSE
78379967,1,2022-11-24 15:00:00.000000,120203,FALSE
78379967,1,2022-11-24 16:00:00.000000,120209,FALSE
78379967,1,2022-11-24 17:00:00.000000,120211,FALSE
78379967,1,2022-11-24 18:00:00.000000,120216,FALSE
78379967,1,2022-11-24 19:00:00.000000,120222,FALSE
78379967,1,2022-11-24 20:00:00.000000,120225,FALSE
78379967,1,2022-11-24 21:00:00.000000,120230,FALSE
78379967,1,2022-11-24 22:00:00.000000,120233,FALSE
78379967,1,2022-11-24 23:00:00.000000,120237,FALSE
78379967,1,2022-11-25 00:00:00.000000,120242,FALSE
78379967,1,2022-11-25 01:00:00.000000,120247,FALSE
78379967,1,2022-11-25 02:00:00.000000,120250,FALSE
78379967,1,2022-11-25 03:00:00.000000,120255,FALSE
78379967,1,2022-11-25 04:00:00.000000,120260,FALSE
78379967,1,2022-11-25 05:00:00.000000,120263,FALSE
78379967,1,2022-11-25 06:00:00.000000,120268,FALSE
78379967,1,2022-11-25 07:00:00.000000,120273,FALSE
78379967,1,2022-11-25 08:00:00.000000,120275,FALSE
78379967,1,2022-11-25 09:00:00.000000,120283,FALSE
78379967,1,2022-11-25 10:00:00.000000,120289,FALSE
78379967,1,2022-11-25 11:00:00.000000,120292,FALSE
78379967,1,2022-11-25 12:00:00.000000,120295,FALSE
78379967,1,2022-11-25 13:00:00.000000,120299,FALSE
78379967,1,2022-11-25 14:00:00.000000,120303,FALSE
78379967,1,2022-11-25 15:00:00.000000,120306,FALSE
78379967,1,2022-11-25 16:00:00.000000,120311,FALSE
78379967,1,2022-11-25 17:00:00.000000,120316,FALSE
78379967,1,2022-11-25 18:00:00.000000,120320,FALSE
78379967,1,2022-11-25 19:00:00.000000,120324,FALSE
78379967,1,2022-11-25 20:00:00.000000,120328,FALSE
78379967,1,2022-11-25 21:00:00.000000,120333,FALSE
78379967,1,2022-11-25 22:00:00.000000,120338,FALSE
78379967,1,2022-11-25 23:00:00.000000,120340,FALSE
78379967,1,2022-11-26 00:00:00.000000,120345,FALSE
78379967,1,2022-11-26 01:00:00.000000,120350,FALSE
78379967,1,2022-11-26 02:00:00.000000,120353,FALSE
78379967,1,2022-11-26 03:00:00.000000,120358,FALSE
78379967,1,2022-11-26 04:00:00.000000,120363,FALSE
78379967,1,2022-11-26 05:00:00.000000,120366,FALSE
78379967,1,2022-11-26 06:00:00.000000,120370,FALSE
78379967,1,2022-11-26 07:00:00.000000,120376,FALSE
78379967,1,2022-11-26 08:00:00.000000,120379,FALSE
78379967,1,2022-11-26 09:00:00.000000,120383,FALSE
78379967,1,2022-11-26 10:00:00.000000,120388,FALSE
78379967,1,2022-11-26 11:00:00.000000,120391,FALSE
78379967,1,2022-11-26 12:00:00.000000,120395,FALSE
78379967,1,2022-11-26 13:00:00.000000,120400,FALSE
78379967,1,2022-11-26 14:00:00.000000,120404,FALSE
78379967,1,2022-11-26 15:00:00.000000,120407,FALSE
78379967,1,2022-11-26 16:00:00.000000,120412,FALSE
78379967,1,2022-11-26 17:00:00.000000,120417,FALSE
78379967,1,2022-11-26 18:00:00.000000,120419,FALSE
78379967,1,2022-11-26 19:00:00.000000,120424,FALSE
78379967,1,2022-11-26 20:00:00.000000,120428,FALSE
78379967,1,2022-11-26 21:00:00.000000,120433,FALSE
78379967,1,2022-11-26 22:00:00.000000,120436,FALSE
78379967,1,2022-11-26 23:00:00.000000,120440,FALSE
78379967,1,2022-11-27 00:00:00.000000,120445,FALSE
78379967,1,2022-11-27 01:00:00.000000,120448,FALSE
78379967,1,2022-11-27 02:00:00.000000,120452,FALSE
78379967,1,2022-11-27 03:00:00.000000,120457,FALSE
78379967,1,2022-11-27 04:00:00.000000,120461,FALSE
78379967,1,2022-11-27 05:00:00.000000,120465,FALSE
78379967,1,2022-11-27 06:00:00.000000,120470,FALSE
78379967,1,2022-11-27 07:00:00.000000,120475,FALSE
78379967,1,2022-11-27 08:00:00.000000,120478,FALSE
78379967,1,2022-11-27 09:00:00.000000,120483,FALSE
78379967,1,2022-11-27 10:00:00.000000,120487,FALSE
78379967,1,2022-11-27 11:00:00.000000,120489,FALSE
78379967,1,2022-11-27 12:00:00.000000,120493,FALSE
78379967,1,2022-11-27 13:00:00.000000,120497,FALSE
78379967,1,2022-11-27 14:00:00.000000,120500,FALSE
78379967,1,2022-11-27 15:00:00.000000,120506,FALSE
78379967,1,2022-11-27 16:00:00.000000,120511,FALSE
78379967,1,2022-11-27 17:00:00.000000,120514,FALSE
78379967,1,2022-11-27 18:00:00.000000,120518,FALSE
78379967,1,2022-11-27 19:00:00.000000,120523,FALSE
78379967,1,2022-11-27 20:00:00.000000,120526,FALSE
78379967,1,2022-11-27 21:00:00.000000,120530,FALSE
78379967,1,2022-11-27 22:00:00.000000,120536,FALSE
78379967,1,2022-11-27 23:00:00.000000,120539,FALSE
78379967,1,2022-11-28 00:00:00.000000,120544,FALSE
78379967,1,2022-11-28 01:00:00.000000,120548,FALSE
78379967,1,2022-11-28 02:00:00.000000,120552,FALSE
78379967,1,2022-11-28 03:00:00.000000,120557,FALSE
78379967,1,2022-11-28 04:00:00.000000,120559,FALSE
78379967,1,2022-11-28 05:00:00.000000,120564,FALSE
78379967,1,2022-11-28 06:00:00.000000,120568,FALSE
78379967,1,2022-11-28 07:00:00.000000,120573,FALSE
78379967,1,2022-11-28 08:00:00.000000,120578,FALSE
78379967,1,2022-11-28 09:00:00.000000,120584,FALSE
78379967,1,2022-11-28 10:00:00.000000,120588,FALSE
78379967,1,2022-11-28 11:00:00.000000,120593,FALSE
78379967,1,2022-11-28 12:00:00.000000,120597,FALSE
